id;db;Marca temporal;Correo electrónico;Nombre de la empresa;Dirección de la empresa;Teléfono de contacto;Por favor indique el número de colaboradores que tiene su empresa o comercio;¿En su empresa o comercio cuentan con colaboradoras mujeres?;Por favor indique el número de mujeres que trabajan en su empresa o comercio;Porcentaje mujeres;De sus empleadas mujeres, ¿Cuántas hacen parte de la cadena de distribución del negocio (conducen, reparten domicilios, acompañan las entregas, etc.)?;% mujeres en la distribución;De las mujeres vinculadas a la cadena logística de su empresa o comercio ¿Cuántas están vinculadas por contrato laboral?;% mujeres vinculadas;Entre sus colaboradoras mujeres, alguna(s) se identifica(n) con los siguientes grupos poblacionales:;¿Acompañan y/o apoyan el proceso formativo de las mujeres que hacen parte de la cadena logística?;Por favor, indique dentro de la siguientes categorías, cuál se relaciona con la actividad realizada en su comercio:;De acuerdo al listado señale en orden de importancia las 3 principales actividades comerciales que se desarrollan en su establecimiento:;Productos principales;¿Su establecimiento cuenta con espacio de bodega o almacenamiento de mercancías o productos?;¿Con cuántos espacios de bodega cuenta?;¿En qué piso se ubica(n) la(s) bodegas que sirven a su empresa o comercio?;Por favor, indique el área de la bodega que sirve a su comercio en metros cuadrados:;Por favor, indique la altura en metros de la bodega que sirve a su comercio:;¿El(los) espacio(s) de bodega están ubicados al interior de la ZUAP?;¿En qué municipio se encuentra ubicada la bodega que sirve a su comercio?;Por favor, indique el tipo de bodega con la que cuenta:;Por favor, seleccione los días en los cuales recibe materiales, materias primas o productos:;¿Cuántas veces por semana abastece su establecimiento?;Por favor, indique los horarios durante los cuales realiza las actividades de cargue y descargue de las mercancías:;Por favor, indique la forma en la que ingresa la mercancía a su comercio o área de bodega:;"En una escala de 1 a 5, donde 1 es ""Muy inseguro"" y 5 ""Muy seguro"", ¿considera usted que el proceso de cargue y descargue de mercancías en camión, carro o motocicleta es?";"En una escala de 1 a 5, donde 1 es ""Muy inseguro"" y 5 ""Muy seguro"", ¿considera usted que el proceso de cargue y descargue de mercancías en bicicleta es?";¿El establecimiento o bodega posee alguno de los siguientes elementos para el cargue y descargue de mercancías?;¿Qué medio realiza para el envío de sus artículos a domicilio?;¿Cuántos domicilios realiza a diario su establecimiento?;¿Qué medio realiza para el envío de sus ventas por internet?;¿Cuántos envíos de artículos vendidos por internet realiza a diario su establecimiento?;Ir al fin de la encuesta.;De acuerdo con el tipo de carga que distribuye su empresa, indique máximo 3 tipos en el siguiente listado:;¿El origen de la mercancía que transporta es el Valle de Aburrá?;Por favor, indique el municipio:;Por favor, indique cuántas entregas hace en el centro de Medellín al día:;Por favor, indique el número de establecimientos que surte en el centro de Medellín a diario:;¿Cuántos pedidos recibe su empresa diariamente que tienen como destino el centro de Medellín?;Por favor indique la cantidad de vehículos con combustión a diésel (ACPM) con los que cuenta su empresa:;Por favor indique la cantidad de vehículos con combustión a gasolina con los que cuenta su empresa:;Por favor indique la cantidad de vehículos con combustión a gas natural vehicular (GNV) con los que cuenta su empresa:;Por favor indique la cantidad de vehículos con motor eléctrico con los que cuenta su empresa:;Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos anteriores a 1990];Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 1991 y 2000];Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 2001 y 2010];Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 2011 y 2015];Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos del 2016 en adelante];¿Cuánto es el rendimiento en galones/kilómetro, de sus vehículos a ACPM?;¿Cuánto es el rendimiento en galones/kilómetro, de sus vehículos a gasolina?;¿Cuánto es el rendimiento en metros cúbicos/kilómetro, de sus vehículos a GNV?;¿Cuánto es el rendimiento kilowatt-hora, de sus vehículos eléctricos?;¿Cuánto es el costo total por movilizar un camión cargado hacia el centro de Medellín?;¿Cuántas horas al volante permanece durante un turno de reparto una/un conductora/or en su empresa?;"De acuerdo con la siguiente escala, donde 1 es ""Muy compleja"" y 5 es ""Muy adecuada"" ¿Cómo considera la relación de sus conductores con los demás actores viales (peatones, ciclistas, conductores, transporte público) en el espacio público de la ZUAP?";¿Al interior de su empresa se realizan actividades que promuevan la actividad física entre sus calaboradoras/es?;¿Qué actividades se realizan?;¿Cuántas veces por semana se realizan actividades para promover la actividad física?;¿Conoce usted el Decreto No 1790 de noviembre 20 de 2012 (Decreto de Zona Amarilla o de cargue y descargue en el centro de la ciudad)?
11;dt;9/08/2022 21:55;info@credishop.com;CREDISHOP;Cl 48 50A 07;5408575;3;Sí;2;67%;0;0%;2;100%;Madres cabeza de familia, Migrantes;No;Venta al detalle;CREDITOS;Servicios financieros;No;;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes;6 o más;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00;En motocicleta,En vehículo particular;1;1;NINGUNO;NINGUNO;0;NINGUNO;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
12;dt;9/08/2022 21:48;ventas@inversioneskautiva.com;INVERSIONES KAUTIVA;Carrera 54 46 71;3106215553;15;Sí;12;80%;0;0%;12;100%;Madres cabeza de familia;No;Venta al detalle;Venta de productos de belleza;Cosméticos y productos de belleza;Externo, alquilado;1;4;25;3;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;6 o más;07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00;"En carreta ""zorrilla""";5;4;Carretilla, Elevador;"Motocicleta, Vehículo particular, Carreta ""zorrilla""";4;"Motocicleta, Vehículo particular, Van, Furgón, Carreta ""zorrilla""";4;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
13;dt;9/08/2022 19:26;N/A;CASIOLANDIA;Cl 46 53 - 40;2317399;3;Sí;3;100%;0;0%;3;100%;Madres cabeza de familia;No;Venta al detalle;RELOJERIA;Joyas;No;;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes;La periodicidad es mensual;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00;"En motocicleta, En carreta ""zorrilla"",En vehículo particular";1;1;NINGUNO;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
14;dt;9/08/2022 19:02;textilesyoyo801@gmail.com.;TEXTILES EL YOYO;Kr 54 48 53;5120077;5;Sí;5;100%;0;0%;5;100%;Madres cabeza de familia;No;Venta al detalle;Confección y moda, Textiles;Moda y textiles;Externo, alquilado;1;1;150;10;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;3;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00;En camión, sobre la vía, En motocicleta,En vehículo particular;5;2;Carretilla;"Van, Furgón, Carreta ""zorrilla""";3;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
15;dt;9/08/2022 18:56;boomsmartphone@gmail.com;BOSS SMARTPHONE;Cl 53 49 144;3127797630;3;Sí;1;33%;0;0%;1;100%;Ninguna de las anteriores;No;Venta al detalle;Electrodomésticos y hogar;Electrodomésticos;No;;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;2;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00;"En motocicleta, En carreta ""zorrilla"",En vehículo particular";5;3;ninguno;Motocicleta;2;Motocicleta;2;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
16;dt;9/08/2022 18:40;N/A;TEXTILES EL FAISAN;Cl 49 53 101;5119947;26;Sí;16;62%;0;0%;10;63%;Madres cabeza de familia, Migrantes;Sí;Venta al detalle;Confección y moda, Textiles;Moda y textiles;Externo, alquilado;1;1;250;5;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;4;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00;En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En camión, sobre el andén;5;1;Carretilla, Elevador;"Van, Furgón, Carreta ""zorrilla""";4;"Motocicleta, Van, Furgón, Carreta ""zorrilla""";4;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
17;dt;9/08/2022 18:32;papeleriamegapel@outlook.es;PAPELERIA MEGAPEL;Cl 49 51 57;3104843820;9;Sí;5;56%;0;0%;5;100%;Madres cabeza de familia;No;Venta al detalle;Papelería;Papelería;Externo, propio;1;4;10;3;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes;6 o más;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00;"En camión, sobre la vía, En carreta ""zorrilla""";3;1;Carretilla;Motocicleta, Vehículo particular;2;Motocicleta, Vehículo particular, Van;2;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
18;dt;9/08/2022 18:26;selectedgroupstore@gmail.com;SELECT GROUP STORE;Cl 48 53 63;3145806288;3;Sí;2;67%;0;0%;2;100%;Madres cabeza de familia;No;Venta al detalle;Confección y moda;Moda y textiles;Interno;1;1;5;3;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes;3;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00;"En motocicleta, En carreta ""zorrilla"",En vehículo particular";4;2;Carretilla;Motocicleta;2;Motocicleta;4;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
19;dt;9/08/2022 12:40;jphr18@gmail.com;Jennifer ;Calle 40 20 e0;3206826888;1;Sí;1;100%;1;100%;1;100%;Migrantes;No;Venta al detalle;Mensajería, correos, ventas en línea;Mensajería;Externo, compartido con otros comercios;1;1;1;1;No;Medellín;Recepción de mercancías;Jueves;4;11:00 a 12:00;En camión, en vías aledañas;5;5;Rampa fija;Furgón;12;Caminata;12;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
20;dt;1/08/2022 11:18;Mibarra1802@hotmail.com;Linotex;Cl 49 # 54 39;3503254389;9;Sí;7;78%;7;100%;7;100%;Madres cabeza de familia, Migrantes;Sí;Venta al detalle;Textiles;Moda y textiles;Externo, propio;1;7;1200;4;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;6 o más;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00;En camión, se descarga internamente, En camión, estacionado en bahía y la ingresa el personal de mi empresa, En camión, sobre la vía, En camión, en vías aledañas;4;1;Carretilla, Elevador;Motocicleta, Vehículo particular;5;Motocicleta, Vehículo particular;5;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
21;dt;1/08/2022 10:59;No aplica;Grupo krombi ;Cc comercial Japón piso 4;3148879396;16;Sí;8;50%;0;0%;8;100%;Madres cabeza de familia;No;Proveedor;Tecnología ;Electrónica;Externo, alquilado;5;1;200;5;No;Medellín;Recepción de mercancías;Lunes, Martes, Miércoles, Jueves, Viernes;4;08:00 a 09:00, 18:00 a 19:00;En camión, sobre la vía;5;1;Ninguna;Van, Furgón;13;Furgón;13;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
22;dt;1/08/2022 10:49;No aplica;Zafiro;Cc hueco número 1;No aplica;5;Sí;2;40%;0;0%;2;100%;Ninguna de las anteriores;No;Proveedor;Perfumería;Cosméticos y productos de belleza;No;;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes;5;08:00 a 09:00, 18:00 a 19:00;En camión, sobre la vía;5;1;Ninguno;Motocicleta;6;Motocicleta;5;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
23;dt;1/08/2022 10:29;Servicioalcliente@papeleriaelpinguino.com ;El pingüino ;Carrera 52 número 45 62 ;No aplica;25;Sí;16;64%;0;0%;16;100%;Madres cabeza de familia;Sí;Proveedor;Papelería;Papelería;Interno;4;3;250;6;Sí;Medellín;Recepción de mercancías;Lunes, Jueves, Viernes;5;08:00 a 09:00, 19:00 a 20:00;En camión, sobre la vía;5;1;Carretilla;Motocicleta;8;Motocicleta;6;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
24;dt;29/07/2022 16:46;No aplica;Saraí clothings ;Carrera 52 46 68;No aplica ;53;Sí;32;60%;0;0%;32;100%;Madres cabeza de familia, Migrantes, Víctimas del conflicto armado;No;Proveedor;Confección y moda;Moda y textiles;Interno;8;17;300;6;Sí;Medellín;Recepción de mercancías;Lunes, Martes, Miércoles, Viernes;2;06:00 a 07:00, 07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00;En camión, sobre la vía, En camión, sobre el andén;5;1;Ninguna ;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
25;dt;29/07/2022 15:15;no aplica;Nancy Gómez tienda de maquillaje ;Cl 45 51 90;3054073129;2;Sí;2;100%;0;0%;2;100%;Ninguna de las anteriores;No;Venta al detalle;Venta de productos de belleza;Cosméticos y productos de belleza;No;;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes;1 vez por semana;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00;"En carreta ""zorrilla""";4;1;Ninguno ;Motocicleta;1;Motocicleta;1;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
26;dt;29/07/2022 14:25;ventassfkd.com.co;Distribuidora Danseb;Cl46 53 37;3206918905;5;Sí;2;40%;0;0%;0;0%;Madres cabeza de familia;No;Proveedor;Confección y moda;Moda y textiles;No;;;;;;;;Lunes, Martes, Miércoles, Jueves, Viernes;5;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00;"En carreta ""zorrilla""";5;3;No;No se realizan domicilios;0;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
27;dt;29/07/2022 12:09;Jairobernalnaranjo@hotmail.com;Menuda a domicilio;Calle48#54-10;3004365344;9;Sí;4;44%;2;50%;4;100%;Ninguna de las anteriores;Sí;Proveedor;Mensajería, correos, ventas en línea;Mensajería;Interno;1;2;120;2;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;6 o más;08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00;En motocicleta;5;2;Carretilla;Motocicleta;50;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
28;dt;29/07/2022 11:44;distribucionesfargosa@hotmail.com;Distribuciones Fargo ;Kr 56 48-23;4480019;15;Sí;7;47%;0;0%;7;100%;Madres cabeza de familia;Sí;Proveedor;Papelería;Papelería;Interno;1;2;290;4;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;5;06:00 a 07:00, 19:00 a 20:00;"En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En camión, estacionado en bahía y la ingresa el personal de mi empresa, En carreta ""zorrilla""";5;3;Carretilla;Caminata;4;No se realizan ventas por internet;0;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
29;dt;29/07/2022 11:38;Supermarketninolandia@hotmail.com;Niñolandia;Kr 55 # 45a 33;5121421;25;Sí;14;56%;1;7%;14;100%;Madres cabeza de familia, Víctimas del conflicto armado;Sí;Venta al detalle;Elementos misceláneos, Cigarrería, Juguetería Linterna;Artículos para el hogar;Interno;1;2;1200;3;Sí;Medellín;Almacenamiento de inventarios;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado;6 o más;08:00 a 09:00, 09:00 a 10:00;"En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En camión, en vías aledañas, En carreta ""zorrilla""";5;5;Carretilla;Vehículo particular;3;Motocicleta, Vehículo particular, Rappifavor;3;Finalizar encuesta;;;;;;;;;;;;;;;;;;;;;;;;;;
