est_address,employees,¿en su empresa o comercio cuentan con colaboradoras mujeres?,female_employees,porcentaje mujeres,female_emplo_distri,women_distri_percentage,female_distri_vincu,hired_women_percentage,female_popg,female_support,economic_activity,specific_activity,main_products,warehouse,number_warehouse,warehouse_floor,warehouse_area,warehouse_height,zuap_warehouse,warehouse_municipality,warehouse_type,supply_day,supply_week,supply_schedule,supply_unloading,supply_safety_percep,supply_bic_safety_perception,warehouse_equipement,delivery_transp_mode,num_deliveries,online_trans_mode,num_online_deliveries
Cr 57 45 10,5,No,,0.0,,,,,,,Fabricante,Madera,maderas,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En camión, sobre la vía, En camión, sobre el andén",5,1,Ninguna ,No se realizan domicilios,0,"Motocicleta, Vehículo particular, Van",9
CRA 53 45 54,2,Sí,2.0,1.0,2.0,1.0,2.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Textiles,moda y textiles,No,0.0,,,,,,,Miércoles,La periodicidad es mensual,20:00 a 21:00,"En carreta ""zorrilla""",5,3,Carretilla,No se realizan domicilios,1,No se realizan ventas por internet,1
CRA 53 45 66,4,Sí,3.0,0.75,1.0,0.3333333333333333,3.0,1.0,Madres cabeza de familia,No,Fabricante,Fabricación (manufacturas),manufacturas,Interno,1.0,1.0,40.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 19:00 a 20:00","En carreta ""zorrilla""",5,1,Carretilla,"Carreta ""zorrilla""",3,Si se realizan ventas por internet,5
Carrera 53 224,4,Sí,2.0,0.5,1.0,0.5,2.0,1.0,Madres cabeza de familia,Sí,Proveedor,Confección y moda,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",5,"08:00 a 09:00, 17:00 a 18:00","En carreta ""zorrilla"", En vehículo particular",1,5,Carretilla,"Caminata, Motocicleta",4,Si se realizan ventas por internet,20
Cll 45a 54a29,7,Sí,5.0,0.7142857142857143,0.0,0.0,5.0,1.0,"Madres cabeza de familia, Ninguna de las anteriores",Sí,Venta al detalle Electrodomésticos y hogar Elementos misceláneos,Decoración Electrodomésticos y hogar Elementos misceláneos,articulos para el hogar,Interno,2.0,2.0,230.0,2.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",4,"07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 15:00 a 16:00, 16:00 a 17:00","En camión, sobre la vía",5,1,Ninguno,Motocicleta,2,Motocicleta,6
Carrera 54 45 13,5,Sí,2.0,0.4,0.0,0.0,2.0,1.0,"Madres cabeza de familia, Migrantes",Sí,Venta al detalle,Celulares,electronica,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00",En vehículo particular,5,4,Ninguno,No se realizan domicilios,0,Motocicleta,2
Cr 54 45 13,5,Sí,2.0,0.4,0.0,0.0,2.0,1.0,"Madres cabeza de familia, Migrantes",Sí,Venta al detalle,Celulares ,electronica,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00",En vehículo particular,5,4,Ninguno,No se realizan domicilios,0,Motocicleta,2
Calle 46 42 a 31,2,Sí,2.0,1.0,1.0,0.5,2.0,1.0,Madres cabeza de familia,No,Fabricante,Confección y moda,moda y textiles,Interno,1.0,1.0,10.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes",2,08:00 a 09:00,"En carreta ""zorrilla""",5,5,Caminata,No se realizan domicilios,1,No se realizan ventas por internet,1
Cr 55 45ab17,13,Sí,7.0,0.5384615384615384,0.0,0.0,7.0,1.0,"Madres cabeza de familia, Todas las anteriores",Sí,Venta al detalle Electrodomésticos y hogar,Decoración Electrodomésticos y hogar,articulos para el hogar,Interno,5.0,3.0,340.0,5.0,Sí,Medellín,Recepción de mercancías,"Martes, Miércoles, Jueves",6 o más,"08:00 a 09:00, 09:00 a 10:00","En camión, sobre la vía, En carreta ""zorrilla""",5,1,Carretilla,"Carreta ""zorrilla""",12,"Caminata, Motocicleta, Vehículo particular, Carreta ""zorrilla""",23
Cr 55 45a 03,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Piñateria,jugueteria y elementos deportivos,Interno,1.0,3.0,20.0,2.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",3,"06:00 a 07:00, 07:00 a 08:00","En carreta ""zorrilla""",4,1,Carretilla,Motocicleta,2,Motocicleta,4
Cll 45a 55 66,9,Sí,1.0,0.1111111111111111,0.0,0.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Ferretería,ferreteria,Interno,2.0,1.0,350.0,8.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En camión, sobre la vía, En camión, sobre el andén",5,3,Carretilla,"Motocicleta, Vehículo particular",1,"Motocicleta, Vehículo particular",1
Calle 46 52a27,2,Sí,1.0,0.5,1.0,1.0,1.0,1.0,Ninguna de las anteriores,No,Fabricante,Confección y moda,moda y textiles,"Externo, propio",1.0,1.0,1.0,5.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"08:00 a 09:00, 17:00 a 18:00","En carreta ""zorrilla""",5,1,No,Caminata,1,No se realizan ventas por internet,1
CRA 52a 45 87,2,Sí,1.0,0.5,1.0,1.0,1.0,1.0,Ninguna de las anteriores,No,Fabricante,Confección y moda,moda y textiles,No,0.0,,,,,,,Lunes,2,08:00 a 09:00,"En camión, sobre la vía",5,5,"Carretilla, No",No se realizan domicilios,2,No se realizan ventas por internet,1
cra 53 45 30,4,Sí,2.0,0.5,1.0,0.5,2.0,1.0,Ninguna de las anteriores,No,Venta al detalle,drogueria,"cacao, chocolate y confiteria",No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"08:00 a 09:00, 19:00 a 20:00",En motocicleta,5,5,no,"Caminata, Motocicleta",3,No se realizan ventas por internet,0
Calle 45 51 51,3,Sí,3.0,1.0,1.0,0.3333333333333333,3.0,1.0,Ninguna de las anteriores,No,Venta al detalle,cacharreria,articulos para el hogar,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"08:00 a 09:00, 19:00 a 20:00","En carreta ""zorrilla""",5,5,Carretilla,"Motocicleta, Carreta ""zorrilla""",2,No se realizan ventas por internet,3
Carrera 52 45 06,4,Sí,2.0,0.5,1.0,0.5,2.0,1.0,Madres cabeza de familia,No,Proveedor,Marroquineria,moda y textiles,No,0.0,,,,,,,Lunes,1 vez por semana,15:00 a 16:00,"En camión, estacionado en zona bahía y la ingresa la empresa transportadora",5,5,Carretilla,No se realizan domicilios,1,No se realizan ventas por internet,1
cra 52 45 30-L103,2,Sí,2.0,1.0,1.0,0.5,1.0,0.5,Madres cabeza de familia,No,Proveedor,Maquillaje,cosmeticos y productos de belleza,No,0.0,,,,,,,Lunes,1 vez por semana,08:00 a 09:00,En vehículo particular,5,1,1,No se realizan domicilios,1,No se realizan ventas por internet,2
Carrera 52 45 69,6,Sí,3.0,0.5,1.0,0.3333333333333333,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,Confección y moda,moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"07:00 a 08:00, 17:00 a 18:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa, En carreta ""zorrilla""",1,5,Carretilla,"Motocicleta, Vehículo particular, Carreta ""zorrilla""",1,No se realizan ventas por internet,1
CL 48 54 33,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,"Madres cabeza de familia, Víctimas del conflicto armado",No,Venta al detalle,Farmacia,productos medicos y de salud,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa",4,4,Carretilla,"Caminata, Motocicleta",2,No se realizan ventas por internet,0
Carrera 53 46 115,2,Sí,2.0,1.0,2.0,1.0,2.0,1.0,Madres cabeza de familia,Sí,Fabricante,Textiles,moda y textiles,"Externo, propio",4.0,9.0,5.0,4.0,Sí,Medellín,Recepción de mercancías,Martes,2,17:00 a 18:00,"En carreta ""zorrilla""",5,1,"Carretilla, Elevador",Motocicleta,1,"Motocicleta, Vehículo particular",3
CRA 53 45 115,1,Sí,1.0,1.0,1.0,1.0,1.0,1.0,Migrantes,Sí,Venta al detalle,Cafetería ,cafe,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"10:00 a 11:00, 17:00 a 18:00",En vehículo particular,5,5,"Carretilla, Na",Caminata,5,Caminata,1
Calle 46 53 39 local #108,1,Sí,1.0,1.0,1.0,1.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Textiles ,moda y textiles,No,0.0,,,,,,,Miércoles,2,08:00 a 09:00,"En camión, sobre la vía",5,5,1,1,1,"Caminata, Van",5
Carrera 53a 45 124,6,Sí,3.0,0.5,1.0,0.3333333333333333,3.0,1.0,Madres cabeza de familia,Sí,Fabricante,Lencería,moda y textiles,"Externo, alquilado",1.0,1.0,40.0,10.0,No,La Estrella,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",5,"07:00 a 08:00, 08:00 a 09:00","En camión, se descarga internamente",5,1,Carretilla,Furgón,1,Mostrador,1
CL 48 54 43,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,Aseo personal y belleza,cosmeticos y productos de belleza,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En carreta ""zorrilla""",5,4,Carretilla,Motocicleta,3,No se realizan ventas por internet,1
 Calle 48 # 54 10,8,Sí,2.0,0.25,2.0,1.0,2.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle correos ventas en línea Servicios de transporte y distribución de mercancías,Mensajería correos ventas en línea Servicios de transporte y distribución de mercancías,mensajeria,Interno,1.0,1.0,60.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",5,1,Carretilla,"Van, Furgón, Carreta ""zorrilla""",32,No se realizan ventas por internet,32
CRA 53 45 18,4,Sí,3.0,0.75,3.0,1.0,1.0,0.3333333333333333,Ninguna de las anteriores,Sí,Proveedor,Restaurante,restauracion,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00","En carreta ""zorrilla""",5,5,1,Caminata,10,1,1
Calle 51 # 53- 25,20,Sí,7.0,0.35,0.0,0.0,7.0,1.0,Madres cabeza de familia,No,Fabricante,Colchoneria ,articulos para el hogar,Interno,1.0,1.0,10.0,2.2,Sí,Medellín,Recepción de mercancías,"Lunes, Jueves",2,08:00 a 09:00,"En camión, sobre la vía",4,1,Carretilla,Vehículo particular,5,No se realizan ventas por internet,3
CRA 53 45 18,4,Sí,3.0,0.75,1.0,0.3333333333333333,1.0,0.3333333333333333,Madres cabeza de familia,No,Proveedor,Restaurante,restauracion,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 17:00 a 18:00","En carreta ""zorrilla""",5,5,"Carretilla, No",Caminata,15,No se realizan ventas por internet,1
CRA 53 45 96,39,Sí,15.0,0.38461538461538464,1.0,0.06666666666666667,15.0,1.0,Madres cabeza de familia,Sí,Proveedor Elementos misceláneos,Electrodomésticos y hogar Elementos misceláneos,electrodomesticos,Interno,1.0,4.0,100.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",5,"08:00 a 09:00, 11:00 a 12:00","En camión, se descarga internamente",5,1,"Carretilla, Elevador",No se realizan domicilios,1,Caminata,1
CRA 53 45 54,2,Sí,2.0,1.0,1.0,0.5,1.0,0.5,Madres cabeza de familia,No,Venta al detalle,Confección y moda,moda y textiles,Interno,1.0,1.0,40.0,4.0,Sí,Medellín,Recepción de mercancías,Lunes,2,"08:00 a 09:00, 19:00 a 20:00","En camión, se descarga internamente",5,2,Carretilla,Caminata,2,No se realizan ventas por internet,2
CRA 53 A 45 114,6,Sí,3.0,0.5,1.0,0.3333333333333333,2.0,0.6666666666666666,Madres cabeza de familia,No,Venta al detalle,Cacharreria ,articulos para el hogar,Interno,1.0,1.0,30.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"08:00 a 09:00, 18:00 a 19:00","En camión, se descarga internamente, En motocicleta, En bicicleta, En carreta ""zorrilla"", En vehículo particular",5,5,Carretilla,"Motocicleta, Furgón, Carreta ""zorrilla""",2,"Motocicleta, Carreta ""zorrilla""",1
Carrera 53 45 108,3,Sí,2.0,0.6666666666666666,1.0,0.5,1.0,0.5,Ninguna de las anteriores,No,Venta al detalle,Papelería,papeleria,Interno,1.0,1.0,15.0,2.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"08:00 a 09:00, 16:00 a 17:00","En camión, se descarga internamente, En motocicleta, En bicicleta, En carreta ""zorrilla""",5,1,Carretilla,"Motocicleta, Vehículo particular, Van",8,"Motocicleta, Vehículo particular, Van, Furgón",4
Carrera 53 a #45 124,2,Sí,2.0,1.0,1.0,0.5,2.0,1.0,Ninguna de las anteriores,No,Fabricante,Confección y moda,moda y textiles,Interno,1.0,1.0,5.0,2.0,Sí,Medellín,Recepción de mercancías,"Lunes, Jueves",2,"08:00 a 09:00, 17:00 a 18:00","En camión, sobre la vía",5,1,1,Van,1,1,10
Carrera 53 A 45 124,2,Sí,1.0,0.5,1.0,1.0,1.0,1.0,Ninguna de las anteriores,No,Proveedor,Tecnología ,electronica,"Externo, alquilado",1.0,2.0,20.0,3.0,Sí,Medellín,Recepción de mercancías,Miércoles,4,"07:00 a 08:00, 18:00 a 19:00","En carreta ""zorrilla""",5,5,"Carretilla, 1",Motocicleta,4,Motocicleta,2
Calle 46 52a 23,2,Sí,2.0,1.0,1.0,0.5,2.0,1.0,Madres cabeza de familia,No,Fabricante,Confección y moda,moda y textiles,Interno,1.0,1.0,20.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",5,"08:00 a 09:00, 18:00 a 19:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora",5,1,1,Caminata,1,Caminata,1
Carrera 53 45 _54,4,Sí,1.0,0.25,1.0,1.0,1.0,1.0,Madres cabeza de familia,No,Proveedor,Calzado,calzado,Interno,1.0,1.0,40.0,4.0,Sí,Medellín,Recepción de mercancías,Lunes,2,"05:00 a 06:00, 17:00 a 18:00","En carreta ""zorrilla""",5,5,Carretilla,"Caminata, Carreta ""zorrilla""",3,No se realizan ventas por internet,3
Cll 44 a 54-36,3,No,,0.0,,,,,,,Venta al detalle Carpintería,Recolección de residuos Carpintería,reciclaje y residuos,Interno,2.0,1.0,130.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Jueves, Viernes",4,"08:00 a 09:00, 09:00 a 10:00",En vehículo particular,5,1,Ninguno ,No se realizan domicilios,0,No se realizan ventas por internet,0
Calle 45 52 a 44,2,Sí,2.0,1.0,1.0,0.5,2.0,1.0,Madres cabeza de familia,No,Venta al detalle,Confección y moda,moda y textiles,Interno,1.0,2.0,10.0,2.0,Sí,Medellín,Almacenamiento de inventarios,Lunes,1 vez por semana,08:00 a 09:00,"En camión, sobre la vía",5,1,Camina,Caminata,3,Caminata,5
Calle 45 52 a 44 ,3,Sí,3.0,1.0,1.0,0.3333333333333333,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,Juguetes ,jugueteria y elementos deportivos,No,0.0,,,,,,,Martes,1 vez por semana,09:00 a 10:00,"En camión, sobre la vía",5,1,Carretilla,Caminata,4,No,1
Calle 45 52 a 32,11,Sí,6.0,0.5454545454545454,1.0,0.16666666666666666,6.0,1.0,Madres cabeza de familia,No,Proveedor,Piñateria ,jugueteria y elementos deportivos,Interno,1.0,2.0,120.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",5,08:00 a 09:00,"En carreta ""zorrilla""",5,2,Rampa mecánica,Motocicleta,6,Motocicleta,5
CRA 53 A 45 03,11,Sí,5.0,0.45454545454545453,1.0,0.2,5.0,1.0,"Madres cabeza de familia, Migrantes",No,Fabricante,Restaurante,restauracion,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,08:00 a 09:00,"En camión, sobre la vía",5,1,Carretilla,No se realizan domicilios,1,No,1
Cll 44a 54 42,2,No,,0.0,,,,,,,Venta al detalle Venta y compra de carton,Recolección de residuos Venta y compra de carton,reciclaje y residuos,Interno,3.0,1.0,150.0,4.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00","En carreta ""zorrilla""",5,1,Ninguno ,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 52a 45 95,3,Sí,2.0,0.6666666666666666,1.0,0.5,2.0,1.0,Madres cabeza de familia,No,Venta al detalle,Confección y moda,moda y textiles,No,0.0,,,,,,,Lunes,2,"08:00 a 09:00, 18:00 a 19:00","En camión, sobre la vía",5,5,Carretilla,Motocicleta,1,Motocicleta,4
Cr 55 44 a08,10,Sí,1.0,0.1,0.0,0.0,0.0,0.0,Ninguna de las anteriores,Sí,Venta al detalle,Servicios de transporte y distribución de mercancías,mensajeria,Interno,1.0,2.0,20.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, sobre la vía, En carreta ""zorrilla""",4,1,Ninguno ,"Vehículo particular, Carreta ""zorrilla""",20,No se realizan ventas por internet,0
Calle 46 53-37,2,Sí,2.0,1.0,0.0,0.0,2.0,1.0,Ninguna de las anteriores,Sí,Ventas por internet,Confección y moda,moda y textiles,Interno,1.0,2.0,12.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,"07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En carreta ""zorrilla"", En vehículo particular",5,2,Ninguno,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 54 45-43,7,No,,0.0,,,,,,,Venta al detalle,Producción de alimentos,productos alimenticios,Interno,2.0,1.0,160.0,5.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",4,"07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00","En camión, sobre la vía",5,1,Carretilla,"Motocicleta, Vehículo particular",15,No se realizan ventas por internet,0
Cr 54 45 47,5,No,,0.0,,,,,,,Venta al detalle,Servicios de transporte y distribución de mercancías,mensajeria,Interno,4.0,1.0,60.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, sobre la vía, En carreta ""zorrilla""",5,1,Carretilla,"Carreta ""zorrilla""",25,No se realizan ventas por internet,0
Carrera 52 45 10,5,Sí,4.0,0.8,1.0,0.25,4.0,1.0,Madres cabeza de familia,No,Fabricante,Venta de calzado,calzado,Interno,1.0,2.0,10.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,08:00 a 09:00,"En camión, estacionado en bahía y la ingresa el personal de mi empresa",5,1,Carretilla,Vehículo particular,4,Vehículo particular,4
