id,db,Marca temporal,Nombre de la empresa,Dirección de la empresa,Teléfono de contacto,Por favor indique el número de colaboradores que tiene su empresa o comercio,¿En su empresa o comercio cuentan con colaboradoras mujeres?,Por favor indique el número de mujeres que trabajan en su empresa o comercio,Porcentaje mujeres,"De sus empleadas mujeres, ¿Cuántas hacen parte de la cadena de distribución del negocio (conducen, reparten domicilios, acompañan las entregas, etc.)?",% mujeres en la distribución,De las mujeres vinculadas a la cadena logística de su empresa o comercio ¿Cuántas están vinculadas por contrato laboral?,% mujeres vinculadas,"Entre sus colaboradoras mujeres, alguna(s) se identifica(n) con los siguientes grupos poblacionales:",¿Acompañan y/o apoyan el proceso formativo de las mujeres que hacen parte de la cadena logística?,"Por favor, indique dentro de la siguientes categorías, cuál se relaciona con la actividad realizada en su comercio:",De acuerdo al listado señale en orden de importancia las 3 principales actividades comerciales que se desarrollan en su establecimiento:,Productos principales,¿Su establecimiento cuenta con espacio de bodega o almacenamiento de mercancías o productos?,¿Con cuántos espacios de bodega cuenta?,¿En qué piso se ubica(n) la(s) bodegas que sirven a su empresa o comercio?,"Por favor, indique el área de la bodega que sirve a su comercio en metros cuadrados:","Por favor, indique la altura en metros de la bodega que sirve a su comercio:",¿El(los) espacio(s) de bodega están ubicados al interior de la ZUAP?,¿En qué municipio se encuentra ubicada la bodega que sirve a su comercio?,"Por favor, indique el tipo de bodega con la que cuenta:","Por favor, seleccione los días en los cuales recibe materiales, materias primas o productos:",¿Cuántas veces por semana abastece su establecimiento?,"Por favor, indique los horarios durante los cuales realiza las actividades de cargue y descargue de las mercancías:","Por favor, indique la forma en la que ingresa la mercancía a su comercio o área de bodega:","En una escala de 1 a 5, donde 1 es ""Muy inseguro"" y 5 ""Muy seguro"", ¿considera usted que el proceso de cargue y descargue de mercancías en camión, carro o motocicleta es?","En una escala de 1 a 5, donde 1 es ""Muy inseguro"" y 5 ""Muy seguro"", ¿considera usted que el proceso de cargue y descargue de mercancías en bicicleta es?",¿El establecimiento o bodega posee alguno de los siguientes elementos para el cargue y descargue de mercancías?,¿Qué medio realiza para el envío de sus artículos a domicilio?,¿Cuántos domicilios realiza a diario su establecimiento?,¿Qué medio realiza para el envío de sus ventas por internet?,¿Cuántos envíos de artículos vendidos por internet realiza a diario su establecimiento?,Ir al fin de la encuesta.,"De acuerdo con el tipo de carga que distribuye su empresa, indique máximo 3 tipos en el siguiente listado:",¿El origen de la mercancía que transporta es el Valle de Aburrá?,"Por favor, indique el municipio:","Por favor, indique cuántas entregas hace en el centro de Medellín al día:","Por favor, indique el número de establecimientos que surte en el centro de Medellín a diario:",¿Cuántos pedidos recibe su empresa diariamente que tienen como destino el centro de Medellín?,Por favor indique la cantidad de vehículos con combustión a diésel (ACPM) con los que cuenta su empresa:,Por favor indique la cantidad de vehículos con combustión a gasolina con los que cuenta su empresa:,Por favor indique la cantidad de vehículos con combustión a gas natural vehicular (GNV) con los que cuenta su empresa:,Por favor indique la cantidad de vehículos con motor eléctrico con los que cuenta su empresa:,"Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos anteriores a 1990]","Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 1991 y 2000]","Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 2001 y 2010]","Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos entre 2011 y 2015]","Por favor, indique el rango de edad promedio del parque vehicular de su empresa [Modelos del 2016 en adelante]","¿Cuánto es el rendimiento en galones/kilómetro, de sus vehículos a ACPM?","¿Cuánto es el rendimiento en galones/kilómetro, de sus vehículos a gasolina?","¿Cuánto es el rendimiento en metros cúbicos/kilómetro, de sus vehículos a GNV?","¿Cuánto es el rendimiento kilowatt-hora, de sus vehículos eléctricos?",¿Cuánto es el costo total por movilizar un camión cargado hacia el centro de Medellín?,¿Cuántas horas al volante permanece durante un turno de reparto una/un conductora/or en su empresa?,"De acuerdo con la siguiente escala, donde 1 es ""Muy compleja"" y 5 es ""Muy adecuada"" ¿Cómo considera la relación de sus conductores con los demás actores viales (peatones, ciclistas, conductores, transporte público) en el espacio público de la ZUAP?",¿Al interior de su empresa se realizan actividades que promuevan la actividad física entre sus calaboradoras/es?,¿Qué actividades se realizan?,¿Cuántas veces por semana se realizan actividades para promover la actividad física?,¿Conoce usted el Decreto No 1790 de noviembre 20 de 2012 (Decreto de Zona Amarilla o de cargue y descargue en el centro de la ciudad)?,establishment_type_clean
11,dt,2022-05-19 12:00:31.267,La tienda del triplex,Cr 57 45 10,3234507598,5,No,,0.0,,,,,,,Fabricante,Madera,Maderas,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En camión, sobre la vía, En camión, sobre el andén",5,1,Ninguna,No se realizan domicilios,0,"Motocicleta, Vehículo particular, Van",9,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,dt,2022-05-17 11:32:13.174,La bendición,CRA 53 45 54,3116016665,2,Sí,2.0,1.0,2.0,1.0,2.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Textiles,Moda y textiles,No,0.0,,,,,,,Miércoles,La periodicidad es mensual,20:00 a 21:00,"En carreta ""zorrilla""",5,3,Carretilla,No se realizan domicilios,1,No se realizan ventas por internet,1,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,dt,2022-05-17 11:44:16.780,Surtidora de los bolsos,CRA 53 45 66,2515370,4,Sí,3.0,0.75,1.0,0.3333333333333333,3.0,1.0,Madres cabeza de familia,No,Fabricante,Fabricación (manufacturas),Manufacturas,Interno,1.0,1.0,40.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 19:00 a 20:00","En carreta ""zorrilla""",5,1,Carretilla,"Carreta ""zorrilla""",3,Si se realizan ventas por internet,5,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,dt,2022-05-17 12:14:00.490,La gran esquina del hueco,Carrera 53 224,3103704750,4,Sí,2.0,0.5,1.0,0.5,2.0,1.0,Madres cabeza de familia,Sí,Proveedor,Confección y moda,Moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes",5,"08:00 a 09:00, 17:00 a 18:00","En carreta ""zorrilla"", En vehículo particular",1,5,Carretilla,"Caminata, Motocicleta",4,Si se realizan ventas por internet,20,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,dt,2022-05-20 09:00:46.400,Los marinillos,Cll 45a 54a29,5405500,7,Sí,5.0,0.7142857142857143,0.0,0.0,5.0,1.0,"Madres cabeza de familia, Ninguna de las anteriores",Sí,Venta al detalle Electrodomésticos y hogar Elementos misceláneos,Decoración Electrodomésticos y hogar Elementos misceláneos,Artículos para el hogar,Interno,2.0,2.0,230.0,2.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",4,"07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 15:00 a 16:00, 16:00 a 17:00","En camión, sobre la vía",5,1,Ninguno,Motocicleta,2,Motocicleta,6,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,dt,2022-05-20 09:11:01.195,Neocell,Carrera 54 45 13,3192428222,5,Sí,2.0,0.4,0.0,0.0,2.0,1.0,"Madres cabeza de familia, Migrantes",Sí,Venta al detalle,Celulares,Electrónica,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00",En vehículo particular,5,4,Ninguno,No se realizan domicilios,0,Motocicleta,2,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,dt,2022-05-20 09:24:59.033,Neocell,Cr 54 45 13,3192428222,5,Sí,2.0,0.4,0.0,0.0,2.0,1.0,"Madres cabeza de familia, Migrantes",Sí,Venta al detalle,Celulares,Electrónica,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00",En vehículo particular,5,4,Ninguno,No se realizan domicilios,0,Motocicleta,2,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,dt,2022-05-18 11:05:09.547,Mia. En línea camisas,Calle 46 42 a 31,3205230619,2,Sí,2.0,1.0,1.0,0.5,2.0,1.0,Madres cabeza de familia,No,Fabricante,Confección y moda,Moda y textiles,Interno,1.0,1.0,10.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes",2,08:00 a 09:00,"En carreta ""zorrilla""",5,5,Caminata,No se realizan domicilios,1,No se realizan ventas por internet,1,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,dt,2022-05-18 09:45:25.564,Hechi,Cr 55 45ab17,3216458095,13,Sí,7.0,0.5384615384615384,0.0,0.0,7.0,1.0,"Madres cabeza de familia, Todas las anteriores",Sí,Venta al detalle Electrodomésticos y hogar,Decoración Electrodomésticos y hogar,Artículos para el hogar,Interno,5.0,3.0,340.0,5.0,Sí,Medellín,Recepción de mercancías,"Martes, Miércoles, Jueves",6 o más,"08:00 a 09:00, 09:00 a 10:00","En camión, sobre la vía, En carreta ""zorrilla""",5,1,Carretilla,"Carreta ""zorrilla""",12,"Caminata, Motocicleta, Vehículo particular, Carreta ""zorrilla""",23,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,dt,2022-05-18 09:57:07.642,Hora loca,Cr 55 45a 03,3218207223,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Piñateria,Juguetería y elementos deportivos,Interno,1.0,3.0,20.0,2.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",3,"06:00 a 07:00, 07:00 a 08:00","En carreta ""zorrilla""",4,1,Carretilla,Motocicleta,2,Motocicleta,4,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,dt,2022-05-18 10:11:40.007,Punto de soldadura,Cll 45a 55 66,3122954030,9,Sí,1.0,0.1111111111111111,0.0,0.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Ferretería,Ferretería,Interno,2.0,1.0,350.0,8.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En camión, sobre la vía, En camión, sobre el andén",5,3,Carretilla,"Motocicleta, Vehículo particular",1,"Motocicleta, Vehículo particular",1,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,dt,2022-05-18 11:21:18.458,Camisas,Calle 46 52a27,3205230621,2,Sí,1.0,0.5,1.0,1.0,1.0,1.0,Ninguna de las anteriores,No,Fabricante,Confección y moda,Moda y textiles,"Externo, propio",1.0,1.0,1.0,5.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"08:00 a 09:00, 17:00 a 18:00","En carreta ""zorrilla""",5,1,No,Caminata,1,No se realizan ventas por internet,1,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,dt,2022-05-18 12:20:25.894,Almacén celeste,CRA 52a 45 87,3004465784,2,Sí,1.0,0.5,1.0,1.0,1.0,1.0,Ninguna de las anteriores,No,Fabricante,Confección y moda,Moda y textiles,No,0.0,,,,,,,Lunes,2,08:00 a 09:00,"En camión, sobre la vía",5,5,"Carretilla, No",No se realizan domicilios,2,No se realizan ventas por internet,1,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,dt,2022-05-19 08:45:18.116,drogueria superior,cra 53 45 30,2311179,4,Sí,2.0,0.5,1.0,0.5,2.0,1.0,Ninguna de las anteriores,No,Venta al detalle,drogueria,"Cacao, chocolate y confitería",No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"08:00 a 09:00, 19:00 a 20:00",En motocicleta,5,5,no,"Caminata, Motocicleta",3,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,dt,2022-05-19 08:56:33.023,mundo explor,Calle 45 51 51,305416739,3,Sí,3.0,1.0,1.0,0.3333333333333333,3.0,1.0,Ninguna de las anteriores,No,Venta al detalle,cacharreria,Artículos para el hogar,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"08:00 a 09:00, 19:00 a 20:00","En carreta ""zorrilla""",5,5,Carretilla,"Motocicleta, Carreta ""zorrilla""",2,No se realizan ventas por internet,3,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,dt,2022-05-19 09:10:50.877,dist giraldo franco,Carrera 52 45 06,3157779484,4,Sí,2.0,0.5,1.0,0.5,2.0,1.0,Madres cabeza de familia,No,Proveedor,Marroquineria,Moda y textiles,No,0.0,,,,,,,Lunes,1 vez por semana,15:00 a 16:00,"En camión, estacionado en zona bahía y la ingresa la empresa transportadora",5,5,Carretilla,No se realizan domicilios,1,No se realizan ventas por internet,1,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,dt,2022-05-19 09:20:34.299,maquillaje f y p,cra 52 45 30-L103,3245314407,2,Sí,2.0,1.0,1.0,0.5,1.0,0.5,Madres cabeza de familia,No,Proveedor,Maquillaje,Cosméticos y productos de belleza,No,0.0,,,,,,,Lunes,1 vez por semana,08:00 a 09:00,En vehículo particular,5,1,1,No se realizan domicilios,1,No se realizan ventas por internet,2,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,dt,2022-05-19 11:54:53.450,Market pets,Carrera 52 45 69,3017405986,6,Sí,3.0,0.5,1.0,0.3333333333333333,3.0,1.0,Madres cabeza de familia,No,Venta al detalle,Confección y moda,Moda y textiles,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"07:00 a 08:00, 17:00 a 18:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa, En carreta ""zorrilla""",1,5,Carretilla,"Motocicleta, Vehículo particular, Carreta ""zorrilla""",1,No se realizan ventas por internet,1,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,dt,2022-05-17 10:35:44.993,Dar salud y bienestar,CL 48 54 33,6043587283,3,Sí,3.0,1.0,0.0,0.0,3.0,1.0,"Madres cabeza de familia, Víctimas del conflicto armado",No,Venta al detalle,Farmacia,Productos médicos y de salud,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa",4,4,Carretilla,"Caminata, Motocicleta",2,No se realizan ventas por internet,0,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,dt,2022-05-16 16:43:29.908,FCM,Carrera 53 46 115,3000293229,2,Sí,2.0,1.0,2.0,1.0,2.0,1.0,Madres cabeza de familia,Sí,Fabricante,Textiles,Moda y textiles,"Externo, propio",4.0,9.0,5.0,4.0,Sí,Medellín,Recepción de mercancías,Martes,2,17:00 a 18:00,"En carreta ""zorrilla""",5,1,"Carretilla, Elevador",Motocicleta,1,"Motocicleta, Vehículo particular",3,Finalizar encuesta,,,,,,,,,,,,,,,,,,,,,,,,,,,
